member_id,imdb_title_id,role_name
237,tt0003740,actor
238,tt0003740,actor
239,tt0003740,actor
240,tt0003740,actor
241,tt0003740,actor
242,tt0003740,actor
243,tt0003740,actor
244,tt0003740,actor
245,tt0003740,actor
246,tt0003740,actor
213,tt0003740,actor
247,tt0003740,actor
76,tt0003740,actor
248,tt0003772,actor
249,tt0003772,actor
250,tt0003772,actor
251,tt0003772,actor
252,tt0003772,actor
253,tt0003772,actor
254,tt0003772,actor
255,tt0003883,actor
256,tt0003883,actor
257,tt0003883,actor
258,tt0003883,actor
259,tt0003883,actor
260,tt0003883,actor
170,tt0003883,actor
261,tt0003883,actor
262,tt0003883,actor
263,tt0003883,actor
264,tt0003883,actor
122,tt0003930,actor
124,tt0003930,actor
141,tt0003930,actor
125,tt0003930,actor
126,tt0003930,actor
130,tt0003930,actor
123,tt0003930,actor
128,tt0003930,actor
265,tt0003973,actor
266,tt0003973,actor
267,tt0003973,actor
268,tt0003973,actor
269,tt0003973,actor
270,tt0003973,actor
271,tt0003973,actor
272,tt0003973,actor
273,tt0003973,actor
274,tt0003973,actor
275,tt0003973,actor
187,tt0004026,actor
276,tt0004026,actor
189,tt0004026,actor
277,tt0004026,actor
278,tt0004026,actor
279,tt0004026,actor
280,tt0004026,actor
281,tt0004066,actor
282,tt0004066,actor
283,tt0004066,actor
284,tt0004066,actor
285,tt0004066,actor
286,tt0004066,actor
287,tt0004066,actor
288,tt0004066,actor
289,tt0004066,actor
290,tt0004066,actor
291,tt0004066,actor
292,tt0004066,actor
293,tt0004066,actor
294,tt0004066,actor
295,tt0004099,actor
296,tt0004099,actor
297,tt0004099,actor
298,tt0004099,actor
299,tt0004099,actor
300,tt0004099,actor
301,tt0004099,actor
302,tt0004099,actor
303,tt0004099,actor
304,tt0004099,actor
305,tt0004099,actor
306,tt0004099,actor
307,tt0004099,actor
186,tt0004134,actor
308,tt0004134,actor
309,tt0004134,actor
310,tt0004134,actor
311,tt0004150,actor
312,tt0004150,actor
313,tt0004150,actor
314,tt0004150,actor
315,tt0004150,actor
316,tt0004150,actor
317,tt0004150,actor
318,tt0004150,actor
319,tt0004150,actor
320,tt0004150,actor
226,tt0004181,actor
172,tt0004181,actor
177,tt0004181,actor
179,tt0004181,actor
321,tt0004181,actor
174,tt0004181,actor
322,tt0004181,actor
323,tt0004181,actor
175,tt0004181,actor
324,tt0004181,actor
295,tt0004457,actor
296,tt0004457,actor
299,tt0004457,actor
325,tt0004457,actor
326,tt0004457,actor
327,tt0004457,actor
328,tt0004457,actor
329,tt0004457,actor
298,tt0004457,actor
302,tt0004457,actor
330,tt0004457,actor
331,tt0004457,actor
332,tt0004457,actor
