imdb_title_id,usa_gross,worldwide_gross,budget
tt0013597,,$ 384770,
tt0013607,,,
tt0013619,,,
tt0013662,$ 400000,,
tt0013674,,,
tt0013688,,,
tt0013704,,,
tt0013705,,,
tt0013741,,,
tt0013750,$ 1500000,,
tt0013802,,$ 242900,
tt0013830,,,
tt0013909,,,
tt0013933,,,
tt0013951,$ 782000,,
tt0014029,,,
tt0014108,,,
tt0014109,,,
tt0014112,,,
tt0014142,$ 1250000,,
tt0014205,,$ 2400000,
tt0014341,,,
tt0014358,,$ 280171,
tt0014397,,,
tt0014416,,,
tt0014417,,,
tt0014429,$ 121000,,
tt0014440,$ 858723,,
tt0014446,,,
tt0014463,$ 90220,,
tt0014497,,,
tt0014516,,,
tt0014524,,,
tt0014532,$ 1800000,,
tt0014538,,,
tt0014586,,,
tt0014604,$ 650000,,
tt0014605,,$ 657532,
tt0014606,,,
tt0014611,$ 220626,,
tt0014624,$ 351000,,$ 11233
tt0014636,,$ 427875,
tt0014646,,,
tt0014672,,,
tt0014702,,$ 290705,
tt0014721,,,
tt0014760,,,
tt0014770,,,
tt0014826,,$ 259784,
tt0014854,$ 750000,,
tt0014869,,,
tt0014874,,,
tt0014898,,,
tt0014900,,,
tt0014925,,EUR 252076,
tt0014945,$ 400000,,
tt0014972,$ 172000,,
tt0014982,,,
tt0015002,,,
tt0015014,FRF 260000,,
tt0015016,$ 280000,,
tt0015018,,,
tt0015022,$ 1000000,,
tt0015036,,,
tt0015064,,$ 94812,
tt0015116,,,
tt0015119,$ 212000,,
tt0015136,,,
tt0015145,,$ 556826,
tt0015163,$ 220000,,
tt0015167,,,
tt0015174,,,
tt0015175,,,
tt0015200,,,
tt0015202,,,
tt0015213,,,
tt0015214,,,
tt0015224,,$ 630229,
tt0015268,,,
tt0015289,,$ 497234,
tt0015310,,$ 780187,
tt0015312,,$ 470454,
tt0015324,,$ 977375,
tt0015361,,,
tt0015400,$ 1135654,,
tt0015493,,,
tt0015498,,,
tt0015500,,,
tt0015518,,,
tt0015532,,,$ 100156
tt0015624,$ 245000,,
tt0015634,,,
tt0015643,,,
tt0015648,,$ 51198,$ 61389
tt0015684,,,
tt0015687,,,
tt0015693,,,
tt0015758,,,
tt0015768,,,
tt0015772,,$ 323150,
tt0015794,,,
tt0015801,,,
tt0015841,,$ 1392,
tt0015842,,,
tt0015847,,,
tt0015861,,,
tt0015863,,,
tt0015864,$ 923000,,$ 26916
tt0015872,,,
tt0015881,$ 546883,,
tt0015883,,,
tt0015909,,$ 230306,
tt0015935,,,
tt0016004,$ 320000,,
tt0016005,,$ 205550,
tt0016006,,$ 190048,
tt0016013,,,
tt0016023,,,
tt0016028,,$ 1100000,
tt0016029,,,
tt0016039,,$ 1194450,$ 2834000
tt0016104,$ 608016,,
tt0016123,,,
tt0016142,,,
tt0016185,,,
tt0016201,,,
tt0016205,,,
tt0016220,,$ 3751476,$ 4360000
tt0016226,,,
tt0016230,,,
tt0016232,,,
tt0016240,,,
tt0016241,,,
tt0016258,,,
tt0016276,,,
tt0016288,,,
tt0016294,$ 477480,,
tt0016308,,$ 304081,
tt0016309,,,
tt0016310,$ 20000,,
tt0016332,,$ 210748,
tt0016338,,,
tt0016377,,,
tt0016392,,,
tt0016394,,$ 241507,
tt0016395,$ 700000,,
tt0016461,$ 312000,,
tt0016473,$ 103000,,
tt0016480,,$ 286809,
tt0016481,,$ 709613,
tt0016491,,,
tt0016493,,,
tt0016544,,,
tt0016545,,,
tt0016548,,,
tt0016559,,,
tt0016560,,$ 264738,
tt0016563,,,
tt0016627,,$ 490467,
tt0016629,,,
tt0016630,,$ 702114,
tt0016634,,$ 1708926,
tt0016640,,,
tt0016643,$ 449000,,
tt0016646,,$ 315862,
tt0016654,$ 1300000,,
tt0016655,$ 166000,,
tt0016664,,,
tt0016669,$ 693000,,
tt0016672,,,
tt0016690,,,
tt0016691,,,
tt0016762,,,
tt0016804,$ 546000,,
tt0016822,,,
tt0016827,,,
tt0016832,$ 260000,,
tt0016847,,,
tt0016854,,,
tt0016871,,$ 262300,
tt0016884,$ 373000,,
tt0016895,,$ 577310,
tt0016914,,,
tt0016939,,,
tt0016947,,,
tt0016953,,,
tt0016971,,,
tt0017004,,,
tt0017028,,$ 314332,
tt0017029,,$ 414115,
tt0017048,,,
tt0017075,GBP 12000,,$ 83260
tt0017082,,,
tt0017096,,,
tt0017103,,,
tt0017119,,,
tt0017120,,$ 620079,
tt0017128,,,
tt0017136,DEM 6000000,$ 1236166,$ 1349711
tt0017159,,,
tt0017184,,,
tt0017195,,,
tt0017196,,,
tt0017198,,,
tt0017226,,$ 1434461,
tt0017271,,,
tt0017293,,,
tt0017329,$ 174728,,
tt0017338,,,
tt0017350,$ 430290,,
tt0017354,$ 503000,,
tt0017374,,,
tt0017378,,,
tt0017382,,,
tt0017409,$ 253000,,
tt0017410,,,
tt0017416,,$ 716850,
tt0017419,$ 971260,,
tt0017423,$ 463455,,
tt0017437,,,
tt0017438,,,
tt0017448,,,
tt0017449,$ 669000,,
tt0017463,,,
tt0017480,$ 250000,,
tt0017483,,$ 243700,
tt0017519,$ 497356,,
tt0017534,,,
tt0017540,$ 360000,,
tt0017567,,,
tt0017619,,,
tt0017621,,,
tt0017632,$ 916000,,
tt0017653,,,
tt0017662,,,
tt0017667,,,
tt0017726,,,
tt0017735,,,
tt0017736,,,
tt0017739,,$ 325550,
tt0017750,$ 264397,,
tt0017751,,,
tt0017765,,,
tt0017809,,,
tt0017825,,,
tt0017832,,,
tt0017843,,,
tt0017860,,GBP 485300,
tt0017886,,,
tt0017918,,,
tt0017925,$ 750000,,
tt0017928,,,
tt0017938,,,
tt0017961,,,
tt0017998,,,
tt0018014,,,
tt0018016,,$ 436342,
tt0018033,,$ 411891,
tt0018037,$ 422000,,
tt0018045,,,
tt0018051,,$ 1553522,
tt0018054,$ 2500000,,
tt0018066,,,
tt0018087,,,
tt0018097,$ 152000,,
tt0018102,,,
tt0018107,$ 488000,,
tt0018113,,$ 502086,
tt0018138,,,
tt0018166,$ 187000,,
tt0018179,$ 267000,,
tt0018183,$ 483103,,
tt0018192,FRF 20000000,,$ 39448
tt0018217,,,
tt0018218,,,
tt0018235,,,
tt0018247,,,
tt0018253,,,
tt0018268,,,
tt0018297,,,
tt0018311,$ 539000,,
tt0018328,,,
tt0018351,,,
tt0018362,,,
tt0018379,$ 1300000,,
tt0018389,,,
tt0018392,,,
tt0018397,,$ 395825,
tt0018413,,,
tt0018440,,$ 405000,
tt0018451,$ 1205000,,
tt0018453,,,
tt0018455,$ 200000,,$ 121107
tt0018464,,,
tt0018471,$ 433000,,
tt0018484,,,
tt0018487,,,
tt0018505,,,
tt0018513,,$ 449700,
tt0018515,,$ 509718,
tt0018523,,,
tt0018524,$ 1500000,,
tt0018526,,$ 1642194,
tt0018528,$ 217000,,$ 4841
tt0018530,,,
tt0018566,,$ 885699,
tt0018578,$ 2000000,,$ 746
tt0018579,$ 80000,,
tt0018588,,,
tt0018600,,,
tt0018615,,,
tt0018618,$ 290000,,
tt0018678,,,
tt0018684,,,
tt0018722,,,
tt0018737,,$ 53485,$ 62686
tt0018742,,,$ 1737460
tt0018749,,,
tt0018756,,,
tt0018770,,,
tt0018773,$ 900000,,$ 26916
tt0018795,,,
tt0018826,,,
tt0018836,$ 267000,,
tt0018839,,,
tt0018841,,,
tt0018862,,,
tt0018876,,,
tt0018879,,,
tt0018882,,,
tt0018907,,,
tt0018908,,,
tt0018909,,,
tt0018910,,,
tt0018927,,,
tt0018935,,,
tt0018937,,,
tt0018972,,,
tt0018990,,,
tt0018996,,,
tt0019043,,,
tt0019067,,,
tt0019071,,,
tt0019074,$ 293000,,
tt0019096,$ 75000,,
tt0019098,,,
tt0019109,,,
tt0019127,,,
tt0019130,,,$ 4347
tt0019151,,,
tt0019152,$ 400000,,
tt0019182,$ 750000,,
tt0019186,,,
tt0019195,$ 337000,,
tt0019237,$ 178000,,
tt0019254,,$ 21877,$ 21877
tt0019258,$ 272000,,
tt0019286,,,
tt0019290,,,
tt0019304,,,
tt0019312,,,
tt0019325,,,
tt0019335,,,
tt0019344,$ 650000,,
tt0019374,,,$ 16467
tt0019379,,$ 1100000,
tt0019388,,$ 10900000,$ 12862000
tt0019400,,,
tt0019412,,,
tt0019415,,,
tt0019421,,,
tt0019429,,,
tt0019434,$ 150000,,
tt0019451,,,
tt0019462,$ 20000,,
tt0019480,,,
tt0019489,$ 2000000,,
tt0019509,,,
tt0019532,$ 325000,,
tt0019553,,$ 859900,
tt0019557,,,
tt0019558,$ 1000000,,
