genre_id,genre
1,Romance
2,Biography
3,Drama
4,Adventure
5,History
6,Crime
7,Western
8,Fantasy
9,Comedy
10,Horror
11,Family
12,Action
13,Mystery
14,Sci-Fi
15,Animation
16,Thriller
17,Musical
18,Music
